"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","319","搜索用户","Test_case","Fri Sep 06 17:06:47 CST 2024","passed","Fri Sep 06 17:06:48 CST 2024","TestConsole","test_console","",""
"","3314","新增用户","Test_case","Fri Sep 06 17:06:55 CST 2024","passed","Fri Sep 06 17:06:58 CST 2024","TestUser","test_console_user","",""
"","330","用户详情","Test_case","Fri Sep 06 17:06:48 CST 2024","passed","Fri Sep 06 17:06:48 CST 2024","TestConsole","test_console","",""
"","5314","新增用户","Test_case","Fri Sep 06 17:06:50 CST 2024","passed","Fri Sep 06 17:06:55 CST 2024","TestUser","test_console_user","",""
"","488","搜索用户","Test_case","Fri Sep 06 17:06:47 CST 2024","passed","Fri Sep 06 17:06:47 CST 2024","TestConsole","test_console","",""
"","658","查询区域列表","Test_case","Fri Sep 06 17:06:49 CST 2024","passed","Fri Sep 06 17:06:50 CST 2024","TestUser","test_console_user","",""
"","0","搜索用户","Test_case","Fri Sep 06 17:06:47 CST 2024","skipped","Fri Sep 06 17:06:47 CST 2024","TestConsole","test_console","",""
